N_dofs,error,times
225,0.10755225141510001,0.003212451934814453
239,0.1099734516563136,0.04180479049682617
275,0.017404348852395498,0.040079355239868164
359,0.007217852686821782,0.007742881774902344
608,0.004185373203850364,0.008167028427124023
1004,0.0026681352475842277,0.010823249816894531
1727,0.0014522313726114053,0.01475977897644043
3012,0.0008223452912433782,0.0212404727935791
5060,0.0004860045699512766,0.035080909729003906
8727,0.0002808756698485645,0.06880974769592285
14468,0.00016836650115954895,0.11274361610412598
24039,0.00010185908813816788,0.31316089630126953
39736,6.0671972951481333e-05,0.337005615234375
