N_dofs,error,times
225,0.10755225141510001,0.02762508392333984
239,0.1099734516563136,0.015522480010986328
269,0.021819952536728762,0.027571916580200195
339,0.00812238523376854,0.005490303039550781
508,0.0050950644980335,0.005800962448120117
808,0.0032148609820552704,0.00638270378112793
1269,0.002028220174490964,0.00846242904663086
2056,0.001313995347331443,0.01079249382019043
3227,0.0008003872309565511,0.014840364456176758
5205,0.0005385204394788828,0.02190995216369629
8170,0.0003466577709621285,0.0450742244720459
12884,0.00022481884987610377,0.10369062423706055
19781,0.00015490033287666313,0.14199137687683105
29907,0.0001048345150495301,0.12116098403930664
45824,6.951033030995295e-05,0.1969771385192871
