N_dofs,error,times
225,0.4910089217305583,0.0601353645324707
241,0.23749801773335916,0.0059278011322021484
282,0.12932067878767595,0.005250215530395508
341,0.06842340183949389,0.004961252212524414
465,0.03586628371247688,0.021105051040649414
624,0.021334554780873607,0.006029844284057617
960,0.012428990364174684,0.009937763214111328
1502,0.007179402110223252,0.008511543273925781
2390,0.004094990395053565,0.012021541595458984
3938,0.002527547916094889,0.01857781410217285
6260,0.001476906218530781,0.06297922134399414
10332,0.000899691728214785,0.06162214279174805
16658,0.000563224736355447,0.08982253074645996
26294,0.00034100574227783237,0.1588904857635498
42478,0.00021546889318963108,0.3018074035644531
67183,0.0001376171160763274,0.5391626358032227
102890,8.56220607523945e-05,0.8293509483337402
