np,tfem,tadd
0,40.18,707.8514
1,76.51430344195187,707.89198588045
2,112.84860688390373,707.9325717609
3,149.1829103258556,707.97315764135
4,185.51721376780748,708.0137435218
5,221.85151720975935,708.05432940225
6,258.1858206517112,708.0949152827
7,294.52012409366307,708.13550116315
8,330.85442753561495,708.1760870436
9,367.1887309775668,708.21667292405
10,403.5230344195187,708.2572588045
11,439.85733786147057,708.2978446849501
12,476.1916413034224,708.3384305654
13,512.5259447453742,708.37901644585
14,548.8602481873261,708.4196023263
15,585.194551629278,708.46018820675
16,621.5288550712298,708.5007740872
17,657.8631585131817,708.54135996765
18,694.1974619551336,708.5819458481
19,730.5317653970855,708.62253172855
20,766.8660688390373,708.663117609
21,803.2003722809892,708.70370348945
22,839.5346757229411,708.7442893699
23,875.868979164893,708.7848752503501
24,912.2032826068447,708.8254611308
25,948.5375860487966,708.86604701125
26,984.8718894907485,708.9066328917
27,1021.2061929327003,708.94721877215
28,1057.5404963746523,708.9878046526001
29,1093.8747998166043,709.02839053305
30,1130.209103258556,709.0689764135
31,1166.543406700508,709.10956229395
32,1202.8777101424598,709.1501481744
33,1239.2120135844116,709.19073405485
34,1275.5463170263636,709.2313199353
35,1311.8806204683153,709.27190581575
36,1348.2149239102673,709.3124916962
37,1384.549227352219,709.35307757665
38,1420.883530794171,709.3936634571
39,1457.2178342361228,709.43424933755
40,1493.5521376780748,709.4748352180001
41,1529.8864411200266,709.51542109845
42,1566.2207445619786,709.5560069789
43,1602.5550480039303,709.59659285935
44,1638.8893514458823,709.6371787398
45,1675.223654887834,709.6777646202501
46,1711.557958329786,709.7183505007
47,1747.8922617717378,709.75893638115
48,1784.2265652136896,709.7995222616
49,1820.5608686556416,709.84010814205
50,1856.8951720975933,709.8806940225
